id,repo_name,domain,primitive_type,concept,foundational_primitive,first_commit_mvp,starter_command,status,license,contribution_path
12,basalt-agent-mesh,Agentic Infrastructure,mesh,A federated mesh where peers share signals about AI worker coordination as reliable operating-system services without central control.,Mesh for agent systems,Peer protocol + mock nodes,mkdir basalt-agent-mesh && cd basalt-agent-mesh && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
13,meridian-agent-notebook,Agentic Infrastructure,notebook,A living notebook format where every claim about AI worker coordination as reliable operating-system services carries evidence.,Notebook for agent systems,File format + renderer,mkdir meridian-agent-notebook && cd meridian-agent-notebook && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
14,verdant-agent-sandbox,Agentic Infrastructure,sandbox,A safe experimentation sandbox for testing AI worker coordination as reliable operating-system services under constraints.,Sandbox for agent systems,Isolated runner + examples,mkdir verdant-agent-sandbox && cd verdant-agent-sandbox && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
15,steward-agent-graph,Agentic Infrastructure,graph,"A graph engine that models dependencies, roles, and constraints for AI worker coordination as reliable operating-system services.",Graph for agent systems,Graph schema + viewer,mkdir steward-agent-graph && cd steward-agent-graph && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
16,terra-agent-daemon,Agentic Infrastructure,daemon,A background daemon that watches changes and updates AI worker coordination as reliable operating-system services automatically.,Daemon for agent systems,Watcher + config,mkdir terra-agent-daemon && cd terra-agent-daemon && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
17,kindred-agent-lens,Agentic Infrastructure,lens,A diagnostic lens that reveals hidden structure and weak points in AI worker coordination as reliable operating-system services.,Lens for agent systems,Report generator,mkdir kindred-agent-lens && cd kindred-agent-lens && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
18,open-agent-bridge,Agentic Infrastructure,bridge,A bridge connecting legacy tools to modern primitives for AI worker coordination as reliable operating-system services.,Bridge for agent systems,Adapter + import script,mkdir open-agent-bridge && cd open-agent-bridge && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
19,aurora-agent-forge,Agentic Infrastructure,forge,A generator that creates starter modules for AI worker coordination as reliable operating-system services.,Forge for agent systems,Template engine + sample project,mkdir aurora-agent-forge && cd aurora-agent-forge && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
20,cobalt-agent-checkpoint,Agentic Infrastructure,checkpoint,A checkpointing system that preserves state and rollback paths for AI worker coordination as reliable operating-system services.,Checkpoint for agent systems,Snapshot API + restore test,mkdir cobalt-agent-checkpoint && cd cobalt-agent-checkpoint && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
21,praxis-agent-radar,Agentic Infrastructure,radar,A signal-detection layer that finds emerging patterns in AI worker coordination as reliable operating-system services.,Radar for agent systems,Signal rules + dashboard,mkdir praxis-agent-radar && cd praxis-agent-radar && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
22,humane-agent-passport,Agentic Infrastructure,passport,A portable identity or credential artifact for participants in AI worker coordination as reliable operating-system services.,Passport for agent systems,Credential schema + verifier,mkdir humane-agent-passport && cd humane-agent-passport && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
23,neon-agent-map,Agentic Infrastructure,map,"A navigable map of actors, assets, and flows involved in AI worker coordination as reliable operating-system services.",Map for agent systems,Map model + demo data,mkdir neon-agent-map && cd neon-agent-map && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
24,foundry-agent-scheduler,Agentic Infrastructure,scheduler,A constraint-aware scheduler for coordinating resources inside AI worker coordination as reliable operating-system services.,Scheduler for agent systems,Solver + calendar export,mkdir foundry-agent-scheduler && cd foundry-agent-scheduler && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
25,root-agent-vault,Agentic Infrastructure,vault,A private vault for storing sensitive context used by AI worker coordination as reliable operating-system services.,Vault for agent systems,Encrypted store + access policy,mkdir root-agent-vault && cd root-agent-vault && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
26,field-agent-mirror,Agentic Infrastructure,mirror,A reflection system that compares stated goals to actual behavior in AI worker coordination as reliable operating-system services.,Mirror for agent systems,Diff engine + report,mkdir field-agent-mirror && cd field-agent-mirror && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
27,dovetail-agent-switchboard,Agentic Infrastructure,switchboard,A routing switchboard that sends each task in AI worker coordination as reliable operating-system services to the right module.,Switchboard for agent systems,Router + routing tests,mkdir dovetail-agent-switchboard && cd dovetail-agent-switchboard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
28,cairn-agent-receipt,Agentic Infrastructure,receipt,"A verifiable receipt system for actions, outcomes, and handoffs in AI worker coordination as reliable operating-system services.",Receipt for agent systems,Receipt schema + signer,mkdir cairn-agent-receipt && cd cairn-agent-receipt && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
29,frontier-agent-atelier,Agentic Infrastructure,atelier,A creative workbench for composing artifacts related to AI worker coordination as reliable operating-system services.,Atelier for agent systems,Asset pipeline + previewer,mkdir frontier-agent-atelier && cd frontier-agent-atelier && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
30,quiet-agent-garden,Agentic Infrastructure,garden,A growth system that nurtures small contributions into mature assets for AI worker coordination as reliable operating-system services.,Garden for agent systems,Contribution tracker,mkdir quiet-agent-garden && cd quiet-agent-garden && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
31,sentinel-agent-compass,Agentic Infrastructure,compass,A decision-support compass that scores options within AI worker coordination as reliable operating-system services.,Compass for agent systems,Scoring model + examples,mkdir sentinel-agent-compass && cd sentinel-agent-compass && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
32,ember-agent-pulse,Agentic Infrastructure,pulse,A real-time pulse monitor for health signals in AI worker coordination as reliable operating-system services.,Pulse for agent systems,Metrics collector + UI,mkdir ember-agent-pulse && cd ember-agent-pulse && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
33,soma-agent-ritual,Agentic Infrastructure,ritual,A repeatable operating ritual that structures recurring work in AI worker coordination as reliable operating-system services.,Ritual for agent systems,Checklist engine + logs,mkdir soma-agent-ritual && cd soma-agent-ritual && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
34,glyph-agent-scaffold,Agentic Infrastructure,scaffold,A repo scaffold that makes AI worker coordination as reliable operating-system services production-ready from the first commit.,Scaffold for agent systems,Starter repo + docs,mkdir glyph-agent-scaffold && cd glyph-agent-scaffold && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
35,lantern-agent-archive,Agentic Infrastructure,archive,"A durable archive that preserves versions, context, and annotations for AI worker coordination as reliable operating-system services.",Archive for agent systems,Archive layout + viewer,mkdir lantern-agent-archive && cd lantern-agent-archive && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
36,blueprint-agent-resolver,Agentic Infrastructure,resolver,A conflict resolver that reconciles competing constraints in AI worker coordination as reliable operating-system services.,Resolver for agent systems,Resolution rules + tests,mkdir blueprint-agent-resolver && cd blueprint-agent-resolver && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
37,civic-agent-beacon,Agentic Infrastructure,beacon,A lightweight broadcast mechanism for publishing trusted signals about AI worker coordination as reliable operating-system services.,Beacon for agent systems,Pub/sub demo,mkdir civic-agent-beacon && cd civic-agent-beacon && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
38,atlas-agent-mixer,Agentic Infrastructure,mixer,A composition engine that blends modules and data streams for AI worker coordination as reliable operating-system services.,Mixer for agent systems,Mixer API + examples,mkdir atlas-agent-mixer && cd atlas-agent-mixer && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
39,halo-agent-contract,Agentic Infrastructure,contract,"A machine-readable contract format for roles, limits, and guarantees in AI worker coordination as reliable operating-system services.",Contract for agent systems,Contract schema + linter,mkdir halo-agent-contract && cd halo-agent-contract && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
40,kinetic-agent-sentry,Agentic Infrastructure,sentry,A sentry that flags anomalies and unsafe transitions in AI worker coordination as reliable operating-system services.,Sentry for agent systems,Detector + alert mock,mkdir kinetic-agent-sentry && cd kinetic-agent-sentry && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
41,mosaic-agent-loom,Agentic Infrastructure,loom,A weaving engine that turns fragmented inputs into coherent flows for AI worker coordination as reliable operating-system services.,Loom for agent systems,Flow builder + examples,mkdir mosaic-agent-loom && cd mosaic-agent-loom && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
42,horizon-agent-prism,Agentic Infrastructure,prism,A multi-perspective review system for evaluating AI worker coordination as reliable operating-system services.,Prism for agent systems,Review rubric + UI,mkdir horizon-agent-prism && cd horizon-agent-prism && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
43,thread-agent-turbine,Agentic Infrastructure,turbine,A momentum engine that converts small signals into prioritized work for AI worker coordination as reliable operating-system services.,Turbine for agent systems,Prioritizer + queue,mkdir thread-agent-turbine && cd thread-agent-turbine && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
44,moral-agent-dock,Agentic Infrastructure,dock,A docking standard that lets plugins attach cleanly to AI worker coordination as reliable operating-system services.,Dock for agent systems,Plugin API + sample plugin,mkdir moral-agent-dock && cd moral-agent-dock && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
45,human-agent-seedbank,Agentic Infrastructure,seedbank,"A seedbank of reusable primitives, prompts, schemas, and tests for AI worker coordination as reliable operating-system services.",Seedbank for agent systems,Library + search,mkdir human-agent-seedbank && cd human-agent-seedbank && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
46,oath-agent-scorecard,Agentic Infrastructure,scorecard,A scorecard system that converts qualitative outcomes into inspectable measures for AI worker coordination as reliable operating-system services.,Scorecard for agent systems,Metrics schema + report,mkdir oath-agent-scorecard && cd oath-agent-scorecard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
47,chrono-agent-constellation,Agentic Infrastructure,constellation,"A constellation view that links projects, people, and artifacts in AI worker coordination as reliable operating-system services.",Constellation for agent systems,Entity model + graph UI,mkdir chrono-agent-constellation && cd chrono-agent-constellation && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
48,harbor-agent-relay,Agentic Infrastructure,relay,"A reliable relay for moving messages, context, and tasks across AI worker coordination as reliable operating-system services.",Relay for agent systems,Message bus + retries,mkdir harbor-agent-relay && cd harbor-agent-relay && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
49,quartz-agent-calibrator,Agentic Infrastructure,calibrator,A calibration suite that tunes thresholds and expectations for AI worker coordination as reliable operating-system services.,Calibrator for agent systems,Calibration tests + chart,mkdir quartz-agent-calibrator && cd quartz-agent-calibrator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
50,mantle-agent-codex,Agentic Infrastructure,codex,"A living codex that stores principles, examples, and reference patterns for AI worker coordination as reliable operating-system services.",Codex for agent systems,Docs engine + examples,mkdir mantle-agent-codex && cd mantle-agent-codex && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
51,foundry-trust-protocol,Trust & Safety Infrastructure,protocol,"A protocol that standardizes digital systems that are safer, auditable, and morally inspectable across independent tools.",Protocol for trust systems,Spec draft + reference validator,mkdir foundry-trust-protocol && cd foundry-trust-protocol && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
52,root-trust-kernel,Trust & Safety Infrastructure,kernel,"A minimal runtime kernel for digital systems that are safer, auditable, and morally inspectable without vendor lock-in.",Kernel for trust systems,Core runtime + CLI,mkdir root-trust-kernel && cd root-trust-kernel && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
53,field-trust-ledger,Trust & Safety Infrastructure,ledger,"An append-only event ledger for digital systems that are safer, auditable, and morally inspectable with replayable history.",Ledger for trust systems,Event schema + replay demo,mkdir field-trust-ledger && cd field-trust-ledger && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
54,dovetail-trust-simulator,Trust & Safety Infrastructure,simulator,"A simulation engine that stress-tests digital systems that are safer, auditable, and morally inspectable before deployment.",Simulator for trust systems,Scenario runner + sample cases,mkdir dovetail-trust-simulator && cd dovetail-trust-simulator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
55,cairn-trust-compiler,Trust & Safety Infrastructure,compiler,"A compiler that converts human intent into machine-checkable plans for digital systems that are safer, auditable, and morally inspectable.",Compiler for trust systems,Parser + plan IR,mkdir cairn-trust-compiler && cd cairn-trust-compiler && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
56,frontier-trust-index,Trust & Safety Infrastructure,index,"A semantic index that makes digital systems that are safer, auditable, and morally inspectable searchable, comparable, and reusable.",Index for trust systems,Indexer + query API,mkdir frontier-trust-index && cd frontier-trust-index && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
57,quiet-trust-canvas,Trust & Safety Infrastructure,canvas,"An interactive canvas for designing and debugging digital systems that are safer, auditable, and morally inspectable.",Canvas for trust systems,Web UI + example board,mkdir quiet-trust-canvas && cd quiet-trust-canvas && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
58,sentinel-trust-agent,Trust & Safety Infrastructure,agent,"A specialist agent that manages one narrow responsibility inside digital systems that are safer, auditable, and morally inspectable.",Agent for trust systems,Agent contract + tests,mkdir sentinel-trust-agent && cd sentinel-trust-agent && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
59,ember-trust-orchestrator,Trust & Safety Infrastructure,orchestrator,"An orchestrator that coordinates modules responsible for digital systems that are safer, auditable, and morally inspectable.",Orchestrator for trust systems,Router + plugin registry,mkdir ember-trust-orchestrator && cd ember-trust-orchestrator && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
60,soma-trust-guardian,Trust & Safety Infrastructure,guardian,"A guard layer that detects failure, drift, and misuse in digital systems that are safer, auditable, and morally inspectable.",Guardian for trust systems,Policy rules + audit log,mkdir soma-trust-guardian && cd soma-trust-guardian && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
61,glyph-trust-codec,Trust & Safety Infrastructure,codec,"A translation layer that converts messy inputs into structured records for digital systems that are safer, auditable, and morally inspectable.",Codec for trust systems,Normalizer + fixtures,mkdir glyph-trust-codec && cd glyph-trust-codec && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
62,lantern-trust-mesh,Trust & Safety Infrastructure,mesh,"A federated mesh where peers share signals about digital systems that are safer, auditable, and morally inspectable without central control.",Mesh for trust systems,Peer protocol + mock nodes,mkdir lantern-trust-mesh && cd lantern-trust-mesh && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
63,blueprint-trust-notebook,Trust & Safety Infrastructure,notebook,"A living notebook format where every claim about digital systems that are safer, auditable, and morally inspectable carries evidence.",Notebook for trust systems,File format + renderer,mkdir blueprint-trust-notebook && cd blueprint-trust-notebook && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
64,civic-trust-sandbox,Trust & Safety Infrastructure,sandbox,"A safe experimentation sandbox for testing digital systems that are safer, auditable, and morally inspectable under constraints.",Sandbox for trust systems,Isolated runner + examples,mkdir civic-trust-sandbox && cd civic-trust-sandbox && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
65,atlas-trust-graph,Trust & Safety Infrastructure,graph,"A graph engine that models dependencies, roles, and constraints for digital systems that are safer, auditable, and morally inspectable.",Graph for trust systems,Graph schema + viewer,mkdir atlas-trust-graph && cd atlas-trust-graph && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
66,halo-trust-daemon,Trust & Safety Infrastructure,daemon,"A background daemon that watches changes and updates digital systems that are safer, auditable, and morally inspectable automatically.",Daemon for trust systems,Watcher + config,mkdir halo-trust-daemon && cd halo-trust-daemon && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
67,kinetic-trust-lens,Trust & Safety Infrastructure,lens,"A diagnostic lens that reveals hidden structure and weak points in digital systems that are safer, auditable, and morally inspectable.",Lens for trust systems,Report generator,mkdir kinetic-trust-lens && cd kinetic-trust-lens && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
68,mosaic-trust-bridge,Trust & Safety Infrastructure,bridge,"A bridge connecting legacy tools to modern primitives for digital systems that are safer, auditable, and morally inspectable.",Bridge for trust systems,Adapter + import script,mkdir mosaic-trust-bridge && cd mosaic-trust-bridge && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
69,horizon-trust-forge,Trust & Safety Infrastructure,forge,"A generator that creates starter modules for digital systems that are safer, auditable, and morally inspectable.",Forge for trust systems,Template engine + sample project,mkdir horizon-trust-forge && cd horizon-trust-forge && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
70,thread-trust-checkpoint,Trust & Safety Infrastructure,checkpoint,"A checkpointing system that preserves state and rollback paths for digital systems that are safer, auditable, and morally inspectable.",Checkpoint for trust systems,Snapshot API + restore test,mkdir thread-trust-checkpoint && cd thread-trust-checkpoint && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
71,moral-trust-radar,Trust & Safety Infrastructure,radar,"A signal-detection layer that finds emerging patterns in digital systems that are safer, auditable, and morally inspectable.",Radar for trust systems,Signal rules + dashboard,mkdir moral-trust-radar && cd moral-trust-radar && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
72,human-trust-passport,Trust & Safety Infrastructure,passport,"A portable identity or credential artifact for participants in digital systems that are safer, auditable, and morally inspectable.",Passport for trust systems,Credential schema + verifier,mkdir human-trust-passport && cd human-trust-passport && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
73,oath-trust-map,Trust & Safety Infrastructure,map,"A navigable map of actors, assets, and flows involved in digital systems that are safer, auditable, and morally inspectable.",Map for trust systems,Map model + demo data,mkdir oath-trust-map && cd oath-trust-map && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
74,chrono-trust-scheduler,Trust & Safety Infrastructure,scheduler,"A constraint-aware scheduler for coordinating resources inside digital systems that are safer, auditable, and morally inspectable.",Scheduler for trust systems,Solver + calendar export,mkdir chrono-trust-scheduler && cd chrono-trust-scheduler && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
75,harbor-trust-vault,Trust & Safety Infrastructure,vault,"A private vault for storing sensitive context used by digital systems that are safer, auditable, and morally inspectable.",Vault for trust systems,Encrypted store + access policy,mkdir harbor-trust-vault && cd harbor-trust-vault && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
76,quartz-trust-mirror,Trust & Safety Infrastructure,mirror,"A reflection system that compares stated goals to actual behavior in digital systems that are safer, auditable, and morally inspectable.",Mirror for trust systems,Diff engine + report,mkdir quartz-trust-mirror && cd quartz-trust-mirror && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
77,mantle-trust-switchboard,Trust & Safety Infrastructure,switchboard,"A routing switchboard that sends each task in digital systems that are safer, auditable, and morally inspectable to the right module.",Switchboard for trust systems,Router + routing tests,mkdir mantle-trust-switchboard && cd mantle-trust-switchboard && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
78,aether-trust-receipt,Trust & Safety Infrastructure,receipt,"A verifiable receipt system for actions, outcomes, and handoffs in digital systems that are safer, auditable, and morally inspectable.",Receipt for trust systems,Receipt schema + signer,mkdir aether-trust-receipt && cd aether-trust-receipt && git init,open-seed-unverified,CC-BY-4.0-content/MIT-code,Fork repo → edit data/git-locker.csv → run scripts/validate-locker.py → open PR
